"Post_Title","Address","Price","Beds","Baths","SQFT","Pets","Desc","Scrape_Date","Scrape_Zip","link"
"Troy Boston Apartments","55 Traveler St,Boston, MA 02118","$2,680 - $3,740","0-2","1-2","407-934"," Cats, small dogs, large dogs ","Troy BostonIn one of Boston's most vibrant neighborhoods, Troy Boston Apartments offers a modern and luxurious living experience with sophisticated finishes and incredible amenities.In one of Boston's most vibrant neighborhoods, Troy Boston Apartments offers a modern and luxurious living experience with sophisticated finishes and incredible amenities. Our collection of studios, one- and two- bedroom apartments feature quartz countertops, integrated stainless steel appliances, Elfa closet systems and more. Take advantage of our stunning location by socializing out on either of the two rooftop terraces with unmatched views of the city. Cool down in the swimming pool, relax in one of the poolside cabanas, or work-out in our full service fitness center. We also encourage residents to explore the neighborhood and discover all of the amazing dining and entertainment destinations that sit just beyond the doorstep.Lease Details: Flexible termsUp to 2 Dogs welcome with $250.00 deposit, $110.00 rent.0Up to 2 Cats welcome with $250.00 deposit, $50.00 rent.0","2018-11-09 10:54:08",2118,"No Link"
"Ink Block Apartments","300 Harrison Ave,Boston, MA 02118","$2,815 - $6,668","0","1","589 Sqft","Cats, small dogs, large dogs",NA,"2018-11-09 10:54:23",2118,"No Link"
"Ink Block Apartments","300 Harrison Ave,Boston, MA 02118","$2,890 - $6,494","0","1","589 Sqft","Cats, small dogs, large dogs",NA,"2018-11-09 10:54:23",2118,"No Link"
"Ink Block Apartments","300 Harrison Ave,Boston, MA 02118","$2,815 - $6,358","0","1","589 Sqft","Cats, small dogs, large dogs",NA,"2018-11-09 10:54:23",2118,"No Link"
"Ink Block Apartments","300 Harrison Ave,Boston, MA 02118","$2,965 - $6,668","0","1","589 Sqft","Cats, small dogs, large dogs",NA,"2018-11-09 10:54:24",2118,"No Link"
"Ink Block Apartments","300 Harrison Ave,Boston, MA 02118","$3,066 - $6,894","0","1","590 Sqft","Cats, small dogs, large dogs",NA,"2018-11-09 10:54:24",2118,"No Link"
"Ink Block Apartments","300 Harrison Ave,Boston, MA 02118","$3,372 - $8,010","1","1","715 Sqft","Cats, small dogs, large dogs",NA,"2018-11-09 10:54:24",2118,"No Link"
"Ink Block Apartments","300 Harrison Ave,Boston, MA 02118","$3,372 - $7,823","1","1","715 Sqft","Cats, small dogs, large dogs",NA,"2018-11-09 10:54:24",2118,"No Link"
"Ink Block Apartments","300 Harrison Ave,Boston, MA 02118","$3,387 - $8,010","1","1","715 Sqft","Cats, small dogs, large dogs",NA,"2018-11-09 10:54:24",2118,"No Link"
"Ink Block Apartments","300 Harrison Ave,Boston, MA 02118","$3,334 - $8,157","1","1","709 Sqft","Cats, small dogs, large dogs",NA,"2018-11-09 10:54:24",2118,"No Link"
"Ink Block Apartments","300 Harrison Ave,Boston, MA 02118","$3,485 - $7,994","1","1","709 Sqft","Cats, small dogs, large dogs",NA,"2018-11-09 10:54:24",2118,"No Link"
"Ink Block Apartments","300 Harrison Ave,Boston, MA 02118","$3,334 - $7,849","1","1","709 Sqft","Cats, small dogs, large dogs",NA,"2018-11-09 10:54:24",2118,"No Link"
"Ink Block Apartments","300 Harrison Ave,Boston, MA 02118","$3,429 - $8,157","1","1","709 Sqft","Cats, small dogs, large dogs",NA,"2018-11-09 10:54:24",2118,"No Link"
"Ink Block Apartments","300 Harrison Ave,Boston, MA 02118","$3,410 - $7,850","1","1","716 Sqft","Cats, small dogs, large dogs",NA,"2018-11-09 10:54:25",2118,"No Link"
"Ink Block Apartments","300 Harrison Ave,Boston, MA 02118","$3,629 - $8,407","1","1","964 Sqft","Cats, small dogs, large dogs",NA,"2018-11-09 10:54:25",2118,"No Link"
"Ink Block Apartments","300 Harrison Ave,Boston, MA 02118","$4,403 - $10,112","2","2","1,107 Sqft","Cats, small dogs, large dogs",NA,"2018-11-09 10:54:25",2118,"No Link"
